                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.52781,                0.42973,                 1.0018,                0.84662,                0.82036,                0.84921,                0.64647,                0.88161,                 0.6911,                 1.2282,               0.003169,               0.003169,               0.003169
                     71,                0.52034,                0.40978,                0.99224,                0.86403,                0.79635,                0.86099,                0.66214,                0.88442,                 0.7007,                 1.2187,                0.00307,                0.00307,                0.00307
                     72,                0.53178,                0.42483,                 1.0014,                0.87512,                0.79574,                0.86452,                0.67149,                0.87892,                0.66323,                 1.2182,               0.002971,               0.002971,               0.002971
                     73,                0.50899,                0.39584,                0.97683,                0.85599,                0.81441,                0.86576,                 0.6746,                0.86083,                0.66186,                 1.2199,               0.002872,               0.002872,               0.002872
                     74,                0.50984,                 0.3938,                0.98505,                0.82897,                0.81163,                0.85875,                0.66436,                0.85872,                0.69097,                 1.2091,               0.002773,               0.002773,               0.002773
                     75,                0.51998,                0.39628,                 1.0003,                0.81955,                0.81448,                0.86042,                0.66275,                0.85961,                0.69764,                 1.2176,               0.002674,               0.002674,               0.002674
                     76,                0.52092,                0.39302,                0.99293,                0.82316,                0.81885,                0.85819,                0.65675,                0.86967,                0.68473,                 1.2327,               0.002575,               0.002575,               0.002575
                     77,                0.50898,                0.39579,                0.98794,                0.80362,                0.84604,                0.85178,                0.64815,                0.86663,                0.69565,                  1.213,               0.002476,               0.002476,               0.002476
                     78,                0.51641,                0.39006,                0.97842,                0.80083,                0.83008,                0.84269,                0.64491,                0.84884,                0.71078,                 1.2169,               0.002377,               0.002377,               0.002377
                     79,                0.49689,                0.38469,                0.97398,                0.84366,                0.78829,                 0.8378,                0.65102,                0.83491,                0.71883,                 1.2041,               0.002278,               0.002278,               0.002278
                     80,                0.47787,                0.37276,                0.97708,                0.85089,                0.78678,                0.85946,                0.66411,                0.82658,                0.71838,                 1.1913,               0.002179,               0.002179,               0.002179
                     81,                  0.495,                0.39488,                 0.9664,                 0.8397,                 0.7948,                0.85853,                0.65963,                0.82612,                0.71283,                 1.1899,                0.00208,                0.00208,                0.00208
                     82,                0.49133,                 0.3705,                 0.9824,                 0.9068,                 0.7659,                0.86992,                0.66837,                0.82257,                0.71135,                 1.1809,               0.001981,               0.001981,               0.001981
                     83,                0.46375,                0.36986,                0.97302,                0.81918,                0.83227,                0.87877,                0.67522,                0.82405,                0.69571,                  1.191,               0.001882,               0.001882,               0.001882
                     84,                0.46412,                0.36067,                 0.9578,                0.87352,                0.79202,                 0.8772,                0.67296,                 0.8592,                0.69414,                  1.231,               0.001783,               0.001783,               0.001783
                     85,                0.46465,                0.37342,                0.97566,                0.85528,                0.79972,                0.87116,                0.67642,                0.85608,                 0.6776,                 1.2361,               0.001684,               0.001684,               0.001684
                     86,                0.46939,                0.35521,                0.96669,                0.85553,                0.80581,                0.87107,                0.67319,                0.87466,                 0.6843,                 1.2585,               0.001585,               0.001585,               0.001585
                     87,                0.47384,                0.36297,                0.96564,                0.90026,                0.74386,                0.86147,                0.67184,                0.88051,                0.72203,                 1.2527,               0.001486,               0.001486,               0.001486
                     88,                0.46602,                0.36154,                0.98122,                0.90323,                0.74351,                0.86137,                 0.6715,                0.85857,                0.72247,                 1.2276,               0.001387,               0.001387,               0.001387
                     89,                0.44525,                0.33527,                0.95507,                0.87179,                 0.7771,                0.86529,                0.67449,                0.84807,                0.70748,                 1.2205,               0.001288,               0.001288,               0.001288
                     90,                0.45673,                0.35682,                0.97364,                0.81754,                0.83378,                0.86213,                0.67247,                 0.8418,                0.69861,                 1.2142,               0.001189,               0.001189,               0.001189
                     91,                0.45267,                0.36654,                0.98601,                0.82387,                0.83648,                0.86396,                 0.6724,                 0.8277,                0.70463,                 1.1967,                0.00109,                0.00109,                0.00109
                     92,                0.45524,                0.35894,                0.97398,                0.82969,                0.83751,                0.86301,                0.67899,                0.80722,                0.68901,                 1.1789,               0.000991,               0.000991,               0.000991
                     93,                 0.4488,                0.34854,                0.95755,                0.83057,                0.83799,                0.86503,                0.67755,                0.80854,                 0.6874,                 1.1784,               0.000892,               0.000892,               0.000892
                     94,                0.43652,                0.33834,                0.95863,                0.85369,                0.82362,                0.87128,                0.68194,                0.80631,                0.69691,                 1.1781,               0.000793,               0.000793,               0.000793
                     95,                0.44241,                0.35418,                0.96543,                0.84881,                0.82618,                0.87206,                0.68134,                 0.8124,                0.68878,                 1.1863,               0.000694,               0.000694,               0.000694
                     96,                0.43344,                0.33654,                0.94856,                0.85373,                0.83308,                0.86898,                0.67825,                0.82009,                0.69318,                 1.1892,               0.000595,               0.000595,               0.000595
                     97,                0.46211,                0.35593,                0.97868,                0.87914,                0.79202,                0.86889,                0.67605,                0.81713,                0.68337,                 1.1882,               0.000496,               0.000496,               0.000496
                     98,                 0.4322,                0.33646,                0.96194,                0.85926,                0.80609,                0.86109,                0.67351,                0.81498,                0.68365,                 1.1845,               0.000397,               0.000397,               0.000397
                     99,                0.44592,                0.33081,                0.96149,                0.84818,                0.81336,                0.86111,                0.67178,                0.81503,                0.68524,                 1.1846,               0.000298,               0.000298,               0.000298
